"id";"submitdate";"token";"G00Q01[SQ01]";"G02Q01";"G02Q02";"G02Q03";"G02Q04";"G03Q01";"G03Q02";"G03Q02[other]"
"21";"1980-01-01 00:00:00";"gqoj";"Sí";"No";"No la conozco";"No";"a";"99";"Masculino";""
"22";"1980-01-01 00:00:00";"hgfx";"Sí";"No";"No la conozco";"No";"a";"99";"Masculino";""
"23";"1980-01-01 00:00:00";"gton";"Sí";"No";"No la conozco";"No";"a";"99";"Masculino";""
"24";"1980-01-01 00:00:00";"uala";"Sí";"Sí";"La conozco, pero no la he usado";"Sí";"scrath";"12";"Masculino";""
"25";"1980-01-01 00:00:00";"qeqyj";"Sí";"No estoy seguro/a";"La conozco y además la he usado";"No";"Código binario";"13";"Masculino";""
"26";"1980-01-01 00:00:00";"eprdu";"Sí";"Sí";"La conozco y además la he usado";"Sí";"Conozco: Scratch, Roblox estudio, ";"14";"Masculino";""
"27";"1980-01-01 00:00:00";"fkmtp";"Sí";"Sí";"La conozco y además la he usado";"Sí";"NO ME SE LOS NOMBRES";"13";"Masculino";""
"28";"1980-01-01 00:00:00";"pbgky";"Sí";"Sí";"La conozco y además la he usado";"Sí";"scratch, comandos de minecraft, roblox estudio";"13";"Masculino";""
"29";"1980-01-01 00:00:00";"hjpbw";"Sí";"No estoy seguro/a";"La conozco y además la he usado";"Sí";"he usado scratch ";"13";"Masculino";""
"30";"1980-01-01 00:00:00";"gleqe";"Sí";"Sí";"La conozco y además la he usado";"No";"NO LO SE";"13";"Masculino";""
"31";"1980-01-01 00:00:00";"bdwyj";"Sí";"No estoy seguro/a";"La conozco y además la he usado";"Sí";"No me acuerdo de los nombres ";"13";"Masculino";""
"32";"1980-01-01 00:00:00";"ipdcp";"Sí";"No estoy seguro/a";"La conozco y además la he usado";"No";"NEGATIVO";"14";"Masculino";""
"33";"1980-01-01 00:00:00";"ftpnb";"Sí";"Sí";"La conozco y además la he usado";"Sí";"Conozco y he usado: Scratch, Python. Conozco: Java, Unity";"14";"Masculino";""
"34";"1980-01-01 00:00:00";"loemd";"Sí";"Sí";"La conozco y además la he usado";"Sí";"java, scratch, unity, unreal engine, articoding";"14";"Otro";"Genero argenito del sur no binario con nata por encima"
"35";"1980-01-01 00:00:00";"kmqou";"Sí";"Sí";"La conozco y además la he usado";"Sí";"Pyton Escrach Html Java Css
HE USADO ESCRACH Y HTML 5";"13";"Otro";"no binario"
"36";"1980-01-01 00:00:00";"zwzfv";"Sí";"Sí";"La conozco y además la he usado";"Sí";"Pyton, Scratch,
Arduino, cables";"14";"Masculino";""
"37";"1980-01-01 00:00:00";"vsxld";"Sí";"Sí";"La conozco y además la he usado";"Sí";"scratch";"13";"Femenino";""
"38";"1980-01-01 00:00:00";"xnpqf";"Sí";"No estoy seguro/a";"La conozco y además la he usado";"Sí";"HE ADQUIRIDO CONOCIMIENTOS DE MARTA BASTÚS";"14";"Masculino";""
"39";"1980-01-01 00:00:00";"srjon";"Sí";"Sí";"La conozco y además la he usado";"Sí";"SCRATCH";"13";"Masculino";""
"40";"1980-01-01 00:00:00";"ejeuw";"Sí";"Sí";"La conozco y además la he usado";"Sí";"Scratch";"13";"Femenino";""
"41";"1980-01-01 00:00:00";"sxipu";"Sí";"Sí";"La conozco y además la he usado";"Sí";"Scratch";"14";"Femenino";""
"42";"1980-01-01 00:00:00";"ikcar";"Sí";"No estoy seguro/a";"La conozco y además la he usado";"No";"scratch";"13";"Femenino";""
"43";"1980-01-01 00:00:00";"gcpze";"Sí";"Sí";"La conozco y además la he usado";"Sí";"Scratch y Arduino.";"13";"Masculino";""
"44";"1980-01-01 00:00:00";"khadt";"Sí";"No estoy seguro/a";"La conozco y además la he usado";"Sí";"código binario pero lo he utilizado";"14";"Femenino";""
"45";"1980-01-01 00:00:00";"uzzpo";"Sí";"No";"La conozco y además la he usado";"Sí";"scratch y si la he usado";"13";"Femenino";""
"46";"1980-01-01 00:00:00";"epqkm";"Sí";"Sí";"La conozco, pero no la he usado";"Sí";"Conozco lo mínimo";"14";"Masculino";""
"47";"1980-01-01 00:00:00";"zxvkj";"Sí";"No estoy seguro/a";"La conozco y además la he usado";"Sí";"SCRATCH
";"14";"Femenino";""
"48";"1980-01-01 00:00:00";"yvpmf";"Sí";"No estoy seguro/a";"No la conozco";"No";"NADA
";"13";"Masculino";""
"49";"1980-01-01 00:00:00";"krahz";"Sí";"Sí";"La conozco y además la he usado";"Sí";"Conozco Arduino y la he utilizado en un campamento de verano";"13";"Femenino";""
"50";"1980-01-01 00:00:00";"zcibf";"Sí";"Sí";"La conozco y además la he usado";"No";"NADA";"13";"Femenino";""
"51";"1980-01-01 00:00:00";"auvqa";"Sí";"No estoy seguro/a";"La conozco, pero no la he usado";"Sí";"NO LO SE, NO ME ACUERDO";"14";"Femenino";""
"52";"1980-01-01 00:00:00";"grkij";"Sí";"No";"La conozco, pero no la he usado";"No";"NADA";"14";"Femenino";""
"53";"1980-01-01 00:00:00";"swvxx";"Sí";"No estoy seguro/a";"La conozco y además la he usado";"Sí";"Scratch";"14";"Masculino";""
"54";"1980-01-01 00:00:00";"edxmq";"Sí";"Sí";"La conozco y además la he usado";"Sí";"Scratch y una mas que no me acuerdo ahora";"14";"Masculino";""
"55";"1980-01-01 00:00:00";"rdiaf";"Sí";"Sí";"La conozco y además la he usado";"Sí";"No conozco lenguajes de programación
";"14";"Masculino";""
"56";"1980-01-01 00:00:00";"pygoc";"Sí";"Sí";"La conozco y además la he usado";"Sí";"scratch y la he usado";"14";"Otro";"Transformer"
"57";"1980-01-01 00:00:00";"dunul";"Sí";"Sí";"La conozco y además la he usado";"No";"Scratch";"14";"Otro";"Helicoptero HA-28- Tigre"
"58";"1980-01-01 00:00:00";"dwqwi";"Sí";"No estoy seguro/a";"La conozco y además la he usado";"No";"Srach ";"13";"Femenino";""
"59";"1980-01-01 00:00:00";"ubmtx";"Sí";"Sí";"La conozco, pero no la he usado";"No";"NO SE NADA";"14";"Otro";"SI"
"60";"1980-01-01 00:00:00";"kkoif";"Sí";"Sí";"La conozco y además la he usado";"Sí";"Scratch";"13";"Femenino";""
"61";"1980-01-01 00:00:00";"accul";"Sí";"Sí";"La conozco y además la he usado";"Sí";"Hemos utilizado scratch";"14";"Masculino";""
"62";"1980-01-01 00:00:00";"yfohf";"Sí";"Sí";"La conozco y además la he usado";"Sí";"SCRATH";"14";"Femenino";""
"63";"1980-01-01 00:00:00";"tekwp";"Sí";"Sí";"La conozco y además la he usado";"Sí";"HEMOS UTILIZADO SCRATCH";"14";"Masculino";""
